,type,title,date,distance,time,easy,tempo,interval,long,recovery,category
517,running,recovery running,2016-03-19 20:48:55,5.08,41:55,False,False,False,False,True,recovery
518,running,long running,2016-03-17 16:56:11,30.19,3:45:45,False,False,False,True,False,long
519,running,easy running,2016-03-16 18:08:39,10.05,1:19:05,True,False,False,False,False,easy
520,running,recovery running,2016-03-15 18:04:26,7.63,53:18,False,False,False,False,True,recovery
521,running,hiv run 2016,2016-03-13 05:41:28,7.63,35:23,False,False,False,False,False,
522,running,interval 400m rest 1min x 8,2016-03-11 20:13:40,6.78,42:55,False,False,True,False,False,interval
523,running,tempo running,2016-03-10 17:27:09,10.17,1:03:34,False,True,False,False,False,tempo
524,walking,walking,2016-03-08 21:03:41,0.22,13:07,False,False,False,False,False,
525,walking,เดินขึ้นลงบันได,2016-03-07 20:31:22,0.0,30:01,False,False,False,False,False,
526,running,pattaya easy running,2016-03-06 20:21:14,11.11,1:14:24,True,False,False,False,False,easy
527,running,easy running,2016-03-05 18:31:43,10.11,1:16:35,True,False,False,False,False,easy
528,running,easy running,2016-03-04 21:24:06,10.21,1:09:35,True,False,False,False,False,easy
529,running,easy running,2016-03-02 08:36:28,5.09,35:49,True,False,False,False,False,easy
530,running,recovery running,2016-02-29 17:43:59,6.22,49:49,False,False,False,False,True,recovery
531,running,pat rungsit mini-half marathon 2nd,2016-02-28 04:32:21,23.45,2:01:13,False,False,False,True,False,long
532,running,easy tempo running,2016-02-26 17:25:51,10.12,1:05:32,True,True,False,False,False,tempo
533,running,easy running 2,2016-02-25 22:45:50,4.08,30:48,True,False,False,False,False,easy
534,running,easy running 1,2016-02-25 21:56:24,5.99,48:00,True,False,False,False,False,easy
535,running,recovery running,2016-02-24 19:07:51,4.15,34:39,False,False,False,False,True,recovery
536,running,long running,2016-02-22 15:33:15,30.6,3:38:55,False,False,False,True,False,long
537,running,tempo running,2016-02-21 16:30:31,6.01,36:09,False,True,False,False,False,tempo
538,running,rocovery running,2016-02-19 18:22:36,5.15,42:35,False,False,False,False,False,
539,running,800x5 interval running,2016-02-18 17:55:03,7.25,45:37,False,False,True,False,False,interval
540,running,bang khen running,2016-02-15 16:59:37,5.01,33:24,False,False,False,False,False,
541,running,a+charity running,2016-02-14 06:03:47,9.14,44:40,False,False,False,False,False,
542,running,bang rak running,2016-02-12 16:51:49,21.27,2:34:42,False,False,False,True,False,long
543,other,เครื่องเดินวงรี,2016-02-11 21:40:00,4.0,31:39,False,False,False,False,False,
544,running,800x4 interval running,2016-02-10 19:46:46,5.83,34:28,False,False,True,False,False,interval
545,running,easy running,2016-02-09 22:14:13,5.05,37:07,True,False,False,False,False,easy
546,other,other,2016-02-08 15:43:38,0.0,1:13.7,False,False,False,False,False,
547,running,bang khen running,2016-02-07 21:24:17,10.22,1:02:00,False,False,False,False,False,
548,running,bang rak running,2016-02-05 15:56:55,30.49,3:29:42,False,False,False,True,False,long
549,running,sai mai running,2016-02-03 20:17:28,5.05,43:29,False,False,False,False,False,
550,running,bang rak running,2016-02-01 17:17:52,4.03,31:43,False,False,False,False,False,
551,running,bitec half marathon 2016,2016-01-31 04:59:06,21.56,2:01:27,False,False,False,True,False,long
552,running,bang khen running,2016-01-29 20:12:10,5.06,38:20,False,False,False,False,False,
553,running,bang rak running,2016-01-26 18:14:01,5.06,26:41,False,False,False,False,False,
554,running,bang rak running,2016-01-26 17:48:37,5.04,23:33,False,False,False,False,False,
555,running,bang rak running,2016-01-25 16:51:28,21.14,2:22:16,False,False,False,True,False,long
556,running,interval 1min,2016-01-24 20:18:30,6.47,42:00,False,False,True,False,False,interval
557,running,sai mai running,2016-01-21 16:59:47,10.22,1:08:51,False,False,False,False,False,
558,running,bang khen running,2016-01-19 17:19:07,3.46,30:13,False,False,False,False,False,
559,running,sai mai running,2016-01-18 08:17:16,4.02,30:04,False,False,False,False,False,
560,running,chom bung marathon 2016,2016-01-17 04:02:41,42.57,4:25:48,False,False,False,True,False,long
561,running,bang khen running,2016-01-15 16:23:40,5.63,38:11,False,False,False,False,False,
562,running,easy running,2016-01-12 21:34:43,5.14,35:52,True,False,False,False,False,easy
563,running,bang rak running,2016-01-10 16:29:39,21.08,2:33:29,False,False,False,True,False,long
564,running,lumphini easy running,2016-01-07 17:31:20,10.19,1:05:26,True,False,False,False,False,easy
565,running,lumphini 30k running,2016-01-05 16:08:51,30.65,3:30:30,False,False,False,True,False,long
566,running,bang rak running,2016-01-03 18:04:39,10.16,1:02:46,False,False,False,False,False,
567,running,new year running2,2016-01-01 01:01:40,3.96,30:25,False,False,False,False,False,
568,running,new year running1,2015-12-31 23:07:28,6.07,46:21,False,False,False,False,False,
569,running,bangkok noi running,2015-12-27 20:28:59,5.91,42:45,False,False,False,False,False,
570,running,ding daeng running,2015-12-27 19:45:06,6.11,39:58,False,False,False,False,False,
571,running,interval running,2015-12-25 17:29:20,8.8,52:33,False,False,True,False,False,interval
572,running,lumphini easy running,2015-12-22 16:50:39,10.06,1:10:13,True,False,False,False,False,easy
573,running,muang-thai  chiang mai marathon,2015-12-20 04:59:07,21.46,1:56:02,False,False,False,True,False,long
574,running,angkhang running,2015-12-16 17:49:45,6.45,36:35,False,False,False,False,False,
575,running,doi suthep chiang mai run,2015-12-15 07:26:55,10.07,1:22:14,False,False,False,False,False,
576,running,home interval running,2015-12-12 18:15:38,4.02,30:03,False,False,True,False,False,interval
577,running,no carb long running,2015-12-09 16:17:57,21.06,2:31:32,False,False,False,True,False,long
578,running,lumphini tempo running,2015-12-07 16:57:16,10.04,1:02:49,False,True,False,False,False,tempo
579,running,bang su running,2015-12-06 18:00:49,5.23,29:50,False,False,False,False,False,
580,running,bang su running,2015-12-06 17:32:17,5.28,27:49,False,False,False,False,False,
581,running,easy running,2015-12-02 20:46:50,7.63,51:21,True,False,False,False,False,easy
582,running,long running,2015-12-01 15:55:08,21.09,2:26:16,False,False,False,True,False,long
583,running,adidas first test running,2015-11-27 22:21:52,5.2,37:03,False,False,False,False,False,
584,running,pattaya beach running,2015-11-26 17:18:38,5.68,36:00,False,False,False,False,False,
585,running,3min interval running,2015-11-23 17:29:07,8.78,55:04,False,False,True,False,False,interval
586,running,home tempo running,2015-11-21 20:17:51,7.75,44:03,False,True,False,False,False,tempo
587,running,home tempo running,2015-11-19 19:03:19,7.06,48:22,False,True,False,False,False,tempo
588,running,bangkok marathon 2015 running,2015-11-15 02:00:06,42.2,5:20:39,False,False,False,True,False,long
589,running,bang khen running,2015-11-11 16:53:45,5.12,42:22,False,False,False,False,False,
590,running,home easy running,2015-11-05 17:42:49,5.19,37:42,True,False,False,False,False,easy
591,running,lumphini easy running,2015-11-03 18:08:48,10.21,1:14:39,True,False,False,False,False,easy
592,running,mega bangna 2015 running,2015-11-01 05:00:39,21.6,2:10:01,False,False,False,True,False,long
593,running,home 10k running,2015-10-29 18:02:30,10.05,1:04:36,False,False,False,False,False,
594,running,home easy running,2015-10-28 17:36:56,7.19,1:00:24,True,False,False,False,False,easy
595,running,phra khanong running,2015-10-27 16:53:30,1.3,15:56,False,False,False,False,False,
596,running,first 30km. running,2015-10-25 15:11:04,30.06,3:08:12,False,False,False,True,False,long
597,running,home easy running,2015-10-24 18:10:50,5.45,33:54,True,False,False,False,False,easy
598,running,lumphini easy running,2015-10-22 17:10:29,5.74,36:00,True,False,False,False,False,easy
599,running,lumphini tempo running,2015-10-20 17:36:41,10.17,55:15,False,True,False,False,False,tempo
600,running,sai mai running,2015-10-19 16:41:21,3.31,26:15,False,False,False,False,False,
601,running,3 parks long running,2015-10-18 16:18:12,26.1,3:08:37,False,False,False,True,False,long
602,running,lumphini hiit  running,2015-10-15 18:19:46,7.15,44:34,False,False,False,False,False,
603,running,sai mai running,2015-10-13 22:09:49,3.09,22:17,False,False,False,False,False,
604,running,lumphini park 21k running,2015-10-08 16:39:27,21.55,2:11:39,False,False,False,True,False,long
605,running,lumphini running,2015-10-06 18:11:08,1.81,10:58,False,False,False,False,False,
606,running,lumphini running,2015-10-06 16:39:14,10.3,1:06:01,False,False,False,False,False,
607,running,กรมบัญชีกลาง มินิมาราธอน ครั้งที่14,2015-10-04 06:02:27,10.17,51:37,False,False,False,False,False,
608,running,lumphini park 21k running,2015-10-01 16:10:12,21.17,2:09:20,False,False,False,True,False,long
609,running,lumphini running,2015-09-29 17:05:54,2.57,15:44,False,False,False,False,False,
610,running,lumphini running,2015-09-29 16:34:14,5.08,28:43,False,False,False,False,False,
611,running,sena running,2015-09-27 19:21:06,5.12,28:03,False,False,False,False,False,
612,running,bang rak running,2015-09-25 17:25:19,2.69,16:51,False,False,False,False,False,
613,running,interval running,2015-09-25 16:57:19,4.9,27:25,False,False,True,False,False,interval
614,running,bang rak running,2015-09-23 15:42:05,21.13,2:16:04,False,False,False,True,False,long
